Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
Culture and conceptions of happiness: individual oriented and social oriented swb.,"Lu, Luo; Gilmour, Robin",Journal of Happiness Studies: An Interdisciplinary Forum on Subjective Well-Being,13894978,,20040101,5,3,269,23,2004-21449-004,10.1007/s10902-004-8789-5,Springer,Journal Article,Cross Cultural Differences; Culture (Anthropological); Happiness; Asians; Individual Differences; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female,,"Adopting a cultural psychological approach, we believe that culture and SWB are most productively analyzed together as a dynamic of mutual constitution. We outline a cultural theory of SWB to systematically analyze conceptions of happiness as embedded in both Euro-American and Asian cultures. Our cultural theory posits that distinct and different characteristics of the conceptions of happiness are prevalent in Asian and Euro-American cultures. For Asians, socially oriented SWB emphasizes role obligation and dialectical balance; for Euro-Americans, individually oriented SWB emphasizes personal accountability and explicit pursuit. The present paper provides empirical data on American conceptions of happiness and contrasts these with previously collected Chinese data. Both similarities and differences were observed and were in general consonant with our theoretical propositions. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-21449-004&site=ehost-live&scope=site
Culture and context: East Asian American and European American differences in P3 event-related potentials and self-construal.,"Lewis, Richard S.; Goto, Sharon G.; Kong, Lauren L.",Personality and Social Psychology Bulletin,01461672,,20080501,34,5,623,12,2008-05398-004,10.1177/0146167207313731,Sage Publications,Journal Article,Cross Cultural Differences; Evoked Potentials; Self-Concept; Stimulus Novelty; Asians; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female,,"Research has demonstrated differences in social and cognitive processes between East Asians and European Americans. Whereas East Asians have been characterized as being more sensitive to situational context and attending more to the perceptual field, European Americans have been characterized as being more focused on the object and being more field independent. The goal of the present experiment was to investigate differences in neural responses to target objects and stimulus context between East Asian Americans and European Americans using a three-stimulus novelty P3 event-related potential design. As hypothesized, European Americans displayed relatively greater target P3 amplitudes, indexing attention to target events, whereas East Asian Americans displayed relatively greater novelty P3 amplitudes, indexing attention to contextually deviant events. Furthermore, the authors found that interdependent self-construal mediated the relationship between culture and the novelty P3. These findings identify a specific pattern of neural activity associated with established cultural differences in contextual sensitivity. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-05398-004&site=ehost-live&scope=site
Culture and decision‐making: Investigating cultural variations in the East Asian and North American online decision‐making processes.,"Li, Liman Man Wai; Masuda, Takahiko; Russell, Matthew J.",Asian Journal of Social Psychology,13672223,,20150901,18,3,183,9,2015-29978-001,10.1111/ajsp.12099,Wiley-Blackwell Publishing Ltd.,Journal Article,Cognitive Processes; Cross Cultural Differences; Cross Cultural Psychology; Decision Making; Thinking; Asians; Adulthood (18 yrs & older); Male; Female,,"Research in cross‐cultural psychology suggests that East Asians hold holistic thinking styles whereas North Americans hold analytic thinking styles. The present study examines the influence of cultural thinking styles on the online decision‐making processes for Hong Kong Chinese and European Canadians, with and without time constraints. We investigated the online decision‐making processes in terms of (1) information search speed, (2) quantity of information used, and (3) type of information used. Results show that, without time constraints, Hong Kong Chinese, compared to European Canadians, spent less time on decisions and parsed through information more efficiently, and Hong Kong Chinese attended to both important and less important information, whereas European Canadians selectively focused on important information. No cultural differences were found in the quantity of information used. When under time constraints, all cultural variations disappeared. The dynamics of cultural differences and similarities in decision‐making are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-29978-001&site=ehost-live&scope=site
Culture and Depression.,"Kleinman, Arthur",The New England Journal of Medicine,00284793,,20040901,351,10,951,3,2004-18423-001,10.1056/NEJMp048078,Massachusetts Medical Society,Journal Article,Boredom; Cross Cultural Differences; Fatigue; Major Depression; Pain; Asians; Immigration; Medical Diagnosis; Therapeutic Processes,,"In many parts of Chinese society, the experience of depression is physical rather than psychological. Many depressed Chinese people do not report feeling sad, but rather express boredom, discomfort, feelings of inner pressure, and symptoms of pain, dizziness, and fatigue. These culturally coded symptoms may confound diagnosis among Chinese immigrants in the United States, many of whom find the diagnosis of depression morally unacceptable and experientially meaningless; this cultural pattern changes over time but continues to diverge significantly from the experiences of other groups. Culture confounds diagnosis and management by influencing not only the experience of depression, but also the seeking of help, patient-practitioner communication, and professional practice. Culture also affects the interaction of risk factors with social supports and protective psychological factors that contributes to depression in the first place. Clinicians must therefore, evaluate the culturally relevant aspects of the stresses and support in the life of a depressed patient. For instance, poverty and joblessness frequently intensify cultural issues. Moreover, the conventional belief that minority groups have strong extended-family ties may not be accurate, but cultural forms of resilience should be considered. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-18423-001&site=ehost-live&scope=site
Culture and diet among Chinese American children aged 9–13 years: A qualitative study.,"Diep, Cassandra S.; Leung, Randall; Thompson, Debbe I.; Gor, Beverly J.; Baranowski, Tom",Journal of Nutrition Education and Behavior,14994046,,20170401,49,4,275,10,2017-16972-005,10.1016/j.jneb.2016.11.002,Elsevier Science,Journal Article,Culture (Anthropological); Diets; Eating Behavior; Food Preferences; Asians; Childhood (birth-12 yrs); School Age (6-12 yrs); Adolescence (13-17 yrs); Male; Female,,"Objective: To examine Chinese American children's behaviors, food preferences, and cultural influences on their diet. Design: Qualitative individual interviews using constructs from the proposed model of dietary acculturation. Setting: Community centers and Chinese schools in Houston, TX. Participants: Twenty-five Chinese American children aged 9–13 years. Phenomenon of Interest: Diet, favorite restaurants, and parents' cooking and grocery shopping habits. Analysis: Content analysis and thematic data analysis to identify code categories and themes. Coders also identified patterns based on demographic and acculturation factors. Results: Overall, participants described their diets and associated behaviors as Asian and non-Asian. Key themes included preference for Asian and non-Asian foods; consumption of non-Asian foods for breakfast and lunch, but Asian foods for dinner; infrequent dining at restaurants; grocery shopping at Asian and non-Asian stores; and familial influences on diet. Acculturated children and children of higher socioeconomic status appeared to prefer and consume a more Westernized/non-Asian diet. Conclusions and Implications: Results illustrate that Chinese American children in this study practiced both Asian and non-Asian dietary behaviors. Findings corroborated existing acculturation research with parents and caregivers; supported constructs in the model of dietary acculturation; and provide guidance for research and programs related to dietary behaviors, determinants, and culture among this population. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-16972-005&site=ehost-live&scope=site
Culture and family process: Measures of familism for Filipino and Korean American parents.,"Choi, Yoonsun; Kim, Tae Yeun; Noh, Samuel; Lee, Jeanette; Takeuchi, David",Family Process,00147370,,20181201,57,4,1029,20,2017-46943-001,10.1111/famp.12322,Wiley-Blackwell Publishing Ltd.,Journal Article,Cross Cultural Differences; Ethnic Values; Family; Measurement; Psychometrics; Asians; Immigration; Parents; Adulthood (18 yrs & older),,"This study tests the psychometric properties of multiple survey items and scales that are either underused or newly developed to assess familism among Asian Americans. Using data collected from 150 Filipino and 188 Korean American parents (mostly mothers) in the Midwest region in 2013, the measures were examined for validity and reliability for each group and, when appropriate, for cross‐cultural equivalence across the groups. Several scales and their items showed high quality psychometric properties and are ready for use to more accurately assess family process of each target group and to conduct comparative analyses. The findings also show that, contrary to the expectation, Filipino American families express more traditional aspects of familism than do Korean American families, and are more likely to reinforce traditional familism beliefs and behaviors among their children. This study reinforces a need for more empirical‐ and subgroup‐specific research effort. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-46943-001&site=ehost-live&scope=site
Culture- and gender-specific implications of relational and collective contexts on spontaneous self-descriptions.,"Kashima, Emiko S.; Hardie, Elizabeth A.; Wakimoto, Ryutaro; Kashima, Yoshihisa",Journal of Cross-Cultural Psychology,00220221,,20110701,42,5,740,19,2011-13144-003,10.1177/0022022110362754,Sage Publications,Journal Article,Cross Cultural Differences; Human Sex Differences; Individual Differences; Ingroup Outgroup; Interpersonal Interaction; Asians; Contextual Associations; Culture (Anthropological); Self-Concept; Sociocultural Factors; Whites; Adulthood (18 yrs & older); Male; Female,,"Social contexts that invoke sociality may be more relational in Asian cultures and for women in general but more collective in Anglo-European cultures and for men in general. Study 1 tested this notion by priming Australians and Asians in Australia with four contextual primes: individual, relational (interpersonal), collective (out-group), and control (nonsocial). As predicted, the relational context increased the proportion of social self-descriptions (relational and collective jointly) among Asians and women, whereas the collective context increased it among Australians. Study 2 reexamined the effects of contextual primes by using relational, in-group, and out-group primes with Japanese students in Japan. Japanese women activated their relational self more when primed with the relational context, whereas men activated their collective self more when primed with a collective (in-group or out-group) context. Both culture and gender interact with social context to show configural effects on the self. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-13144-003&site=ehost-live&scope=site
Culture and self-concept flexibility.,"Choi, Incheol; Choi, Yimoon",Personality and Social Psychology Bulletin,01461672,,20021101,28,11,1508,10,2002-06256-005,10.1177/014616702237578,Sage Publications,Journal Article,Cross Cultural Differences; Self-Concept; Asians,,"Past research has shown that East Asians are more tolerant of apparent contradiction and tend to accept contradictory beliefs more readily than Americans. The present research examined through three studies whether such a dialectical tendency among East Asians also would be found in beliefs about the self. The results showed that in all three studies, Koreans displayed inconsistent beliefs about the self across contexts more than Americans. Unlike Americans, Koreans considered themselves more extroverted when asked how extroverted they were than when asked how introverted they were (Study 1). Koreans also exhibited less consistent beliefs about their relative standings on various personality dimensions than did Americans (Study 2). For example, Koreans evaluated their relative honesty differently when asked how honest they were than when asked how dishonest they were compared to their peers. Koreans also exhibited greater fluctuations in value preferences than did Americans (Study 3). Some implications of the present findings are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2002-06256-005&site=ehost-live&scope=site
Culture and self-concept stability: Consistency across and within contexts among Asian Americans and European Americans.,"English, Tammy; Chen, Serena",Journal of Personality and Social Psychology,00223514,,20070901,93,3,478,13,2007-12436-010,10.1037/0022-3514.93.3.478,American Psychological Association,Journal Article,Cross Cultural Differences; Self-Concept; Sociocultural Factors; Asians; Whites; Adulthood (18 yrs & older); Male; Female,,"Whereas prior cultural research has focused on consistency of self-descriptions across contexts, the current 4 studies examined cultural differences in consistency of multiple self-dimensions and did so both across and within different contexts. Supporting predictions, Study 1a found that Asian Americans were less consistent in their self-descriptions across relationship contexts than were European Americans. Yet Study 1b, a short-term longitudinal study, found that Asian Americans' self-descriptions nonetheless showed high consistency within these contexts over time. Together, these findings suggest that for Asian Americans self-concept stability derives from defining the self in 'if-then' terms, that is, as variable across relationship contexts but stable within them. In Studies 2a and 2b, parallel consistency effects emerged for 2 core motivational facets of the self-concept: self-view importance and self-enhancement. Moreover, dialectical beliefs mediated the cultural difference in consistency across contexts. Overall, the results demonstrate both the robustness and the boundaries of cultural differences in self-concept consistency as well as the importance of examining multiple forms of stability in the self-concept. Implications for authenticity and well-being are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-12436-010&site=ehost-live&scope=site
Culture and sex role expectations.,"Koocher, Gerald P.",Ethics & Behavior,10508422,,19940101,4,1,75,9,1995-07617-001,10.1207/s15327019eb0401_6,Lawrence Erlbaum,Comment/Reply,Cross Cultural Differences; Parental Attitudes; Role Conflicts; School Learning; Sex Role Attitudes; Asians; Elementary School Students; Immigration; Parent School Relationship; Childhood (birth-12 yrs); School Age (6-12 yrs),,"Presents responses to a case vignette which features issues of culture and sex role expectations. A 6-yr-old girl, whose parents are Persian immigrants who hold traditional family values, is having difficulty in spelling and reading and seldom participates in school discussions. The respondents are asked about the extent to which cultural preferences should dictate educational planning and how they would resolve the discrepancy between the parents' wishes and the child's needs as perceived by the school and psychologist. The 1st respondent proposes 3 strategies to resolve conflicts between parties with different value systems, including obtaining objective information, adopting a code, and analyzing arguments. The 2nd respondent recommends that the school reframe its objectives for the girl in a manner syntonic with the parents' cultural beliefs and values. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1995-07617-001&site=ehost-live&scope=site
Culture and sexual behavior.,"Ubillos, Silvia; Paez, Darío; González, José Luis",Psicothema,02149915,,20000101,12,Suppl,70,13,2000-07693-007,,Colegio Oficial de Psicólogos del Principado de Asturias,Journal Article,Cross Cultural Differences; Culture (Anthropological); Psychosexual Behavior; Traditions; Asians; Femininity; Individuality; Islam; Religious Practices; Roman Catholicism; Uncertainty; Interpersonal Control; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female,,"Tested the hypothesis that national collective scores in individualism, low power distance, low uncertainty avoidance and femininity will be associated with a higher frequency of sexual behavior and examined the relationship between predominance of religious traditions and sexual behavior to contrast Catholicism in comparison to Asian and Islamic traditions. Sexual behavior reports were obtained from 74,158 Ss from 25 countries. Ss were aged 15–49 yrs. Low uncertainty avoidance, low Catholicism and Protestantism, dominance of Buddhism and high power distance were associated with less sexual permissiveness. Sexual permissiveness was associated more with the religious aspects of culture. Higher mean sexual frequency was associated with social development, individualism, low power distance and low dominance of Animism and Buddhism, to Catholicism and uncertainty avoidance, and cultural femininity. Results confirm the important role of socioeconomic development, raise questions on the negative view of Christianism and the positive view of oriental religions. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2000-07693-007&site=ehost-live&scope=site
Culture and social support.,"Kim, Heejung S.; Sherman, David K.; Taylor, Shelley E.",American Psychologist,0003066X,,20080901,63,6,518,9,2008-12151-002,10.1037/0003-066X,American Psychological Association,Journal Article,Coping Behavior; Cross Cultural Differences; Distress; Social Support; Asians,,"Social support is one of the most effective means by which people can cope with stressful events. Yet little research has examined whether there are cultural differences in how people utilize their social support networks. A review of studies on culture and social support presents evidence that Asians and Asian Americans are more reluctant to explicitly ask for support from close others than are European Americans because they are more concerned about the potentially negative relational consequences of such behaviors. Asians and Asian Americans are more likely to use and benefit from forms of support that do not involve explicit disclosure of personal stressful events and feelings of distress. Discussion centers on the potential implications of these findings for intercultural interactions and for the use of mental health services by Asians and Asian Americans. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-12151-002&site=ehost-live&scope=site
Culture and the construal of agency: Attribution to individual versus group dispositions.,"Menon, Tanya; Morris, Michael W.; Chiu, Chi-yue; Hong, Ying-yi",Journal of Personality and Social Psychology,00223514,,19990501,76,5,701,17,1999-13561-001,10.1037/0022-3514.76.5.701,American Psychological Association,Journal Article,Attribution; Causal Analysis; Cross Cultural Differences; Social Cognition; Agency; Asians; Theories; Adulthood (18 yrs & older); Male; Female,,"The authors argue that cultures differ in implicit theories of individuals and groups. North Americans conceive of individual persons as free agents, whereas East Asians conceptualize them as constrained and as less agentic than social collectives. Hence, East Asian perceivers were expected to be more likely than North Americans to focus on and attribute causality to dispositions of collectives. In Study 1 newspaper articles about 'rogue trader' scandals were analyzed, and it was found that U.S. papers made more mention of the individual trader involved, whereas Japanese papers referred more to the organization. Study 2 replicated this pattern among U.S. and Hong Kong participants who responded to a vignette about a maladjusted team member. Study 3 revealed the same pattern with respect to individual and group dispositionism using a different design that compared attributions for an act performed by an individual in one condition and by a group in the other condition. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1999-13561-001&site=ehost-live&scope=site
Culture and the Physical Environment: Holistic Versus Analytic Perceptual Affordances.,"Miyamoto, Yuri; Nisbett, Richard E.; Masuda, Takahiko",Psychological Science,09567976,,20060201,17,2,113,7,2006-02115-005,10.1111/j.1467-9280.2006.01673.x,Blackwell Publishing,Journal Article,Attention; Cognitive Processes; Cross Cultural Differences; Imagery; Visual Perception; Asians; Contextual Associations; Adulthood (18 yrs & older); Male; Female,,"Westerners' perceptions tend to focus on salient foreground objects, whereas Asians are more inclined to focus on contexts. We hypothesized that such culturally specific patterns of attention may be afforded by the perceptual environment of each culture. In order to test this hypothesis, we randomly sampled pictures of scenes from small, medium, and large cities in Japan and the United States. Using both subjective and objective measures, Study 1 demonstrated that Japanese scenes were more ambiguous and contained more elements than American scenes. Japanese scenes thus may encourage perception of the context more than American scenes. In Study 2, pictures of locations in cities were presented as primes, and participants' subsequent patterns of attention were measured. Both Japanese and American participants primed with Japanese scenes attended more to contextual information than did those primed with American scenes. These results provide evidence that culturally characteristic environments may afford distinctive patterns of perception. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-02115-005&site=ehost-live&scope=site
Culture and the practice of group psychotherapy in Singapore.,"Devan, G. Sathya",International Journal of Group Psychotherapy,00207284,,20011001,51,4,571,7,2001-18873-007,10.1521/ijgp.51.4.571.51300,Guilford Publications,Journal Article,Culture (Anthropological); Group Dynamics; Group Psychotherapy; Asians; Authority; Individuality; Intimacy; Adulthood (18 yrs & older),,"Trained in S. H. Foulkes' group analysis (Foulkes, 1965) in London, the author, born and bred in Singapore, conducted a slow-open, multiracial psychotherapy group in the English language for neurotic patients in Singapore over an 8-year period. 30 patients attended the group with an average attendance duration of 3 years. The majority had a favorable outcome with improved symptoms, interpersonal relationships, and ability at work. This article identifies a number of unique, culture-specific group processes in the following areas: authority, individuation, and intimacy. The relevance of Western group psychotherapy to Oriental culture will be also examined in light of the above group being the first, psychodynamic group-analytic group in Singapore. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-18873-007&site=ehost-live&scope=site
Culture and validity of the Symptom Checklist-90-Revised and Profile of Mood States in a New Zealand student sample.,"Barker-Collo, Suzanne L.",Cultural Diversity and Ethnic Minority Psychology,10999809,,20030501,9,2,185,12,2003-02848-009,10.1037/1099-9809.9.2.185,Educational Publishing Foundation,Journal Article,Cultural Test Bias; Emotional States; Ethnic Identity; Measurement; Psychopathology; Asians; Cross Cultural Differences; Human Sex Differences; Indigenous Populations; Profiles (Measurement); Symptom Checklists; Test Validity; Checklist (Testing); Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female,,"New Zealand students' performance was examined on assessments of psychopathology and mood as compared to normative data from the United States. New Zealand university students (N=137) completed the Symptom Checklist-90-Revised (SCI-90-R) and Profile of Mood States (POMS). Mean performances differed significantly from normative data for each SCL-90-R scale. No significant differences were found for the POMS scales. Within the sample, European (n=82), Maori (n=24), and Asian (n=24) participants differed significantly on SCL-90-R obsessive-compulsive, phobic anxiety, and anxiety scales and POMS scales of tension and confusion. Implications for assessment of New Zealand samples are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2003-02848-009&site=ehost-live&scope=site
Culture bound syndromes: Disease entities or simply concepts of distress?,"Keshavan, Matcheri S.",Asian Journal of Psychiatry,18762018,,20141201,12,,1,2,2014-54153-002,10.1016/j.ajp.2014.11.003,Elsevier Science,Editorial,Culture (Anthropological); Distress; Imagery; Scientific Communication; Asians; Causal Analysis; Sexual Function Disturbances; Somatization Disorder; Syndromes,,"This editorial provides an overview of the papers presented in the issue Asian Journal of Psychiatry. Two papers in this issue of the Journal, which describe two categories what are often regarded as sexual somatization disorders, raise the question of whether the status of such conditions as syndromal entities should be reconsidered. In another paper in the same issue of the Journal, Kumar and colleagues (2014) describe the features of another common condition in this part of this world, Koro (or genital retraction syndrome), appearing in Northeast India in an epidemic form. In this sense, such disorders may meet criteria for validity, and such disorders may also be reliably diagnosed if appropriate operational diagnostic criteria are developed, that include not only symptom constellations, but also clear causal relationships with the purported etiological determinants. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-54153-002&site=ehost-live&scope=site
Culture shapes electrocortical responses during emotion suppression.,"Murata, Asuka; Moser, Jason S.; Kitayama, Shinobu",Social Cognitive and Affective Neuroscience,17495016,,20130601,8,5,595,7,2013-22203-014,10.1093/scan/nss036,Oxford University Press,Journal Article,Cross Cultural Differences; Emotional Control; Emotional Regulation; Evoked Potentials; Asians; Adulthood (18 yrs & older); Male; Female,,"Previous work has shown that emotional control is highly valued in Asian culture. However, little is known about how this cultural value might influence emotional processing. Here, we hypothesized that Asians are 'culturally trained' to down-regulate emotional processing when required to suppress emotional expressions. Such down-regulation, however, is unlikely for European Americans because their culture values emotional expression (vs control) more. To test these predictions, we adopted the parietal late positive potential (LPP) of the event-related potential as an objective indicator of emotional processing. Both Asian and European Americans were exposed to either unpleasant or neutral pictures while instructed to either attend or suppress expression of emotions. Both groups showed an equally pronounced parietal positivity ∼600 ms post-stimulus. As predicted, however, Asians subsequently showed a significant decrease of the parietal LPP in the suppression (vs attend) condition. The initial positivity completely disappeared 2000 ms post-stimulus. In contrast, for European Americans the parietal LPP suppression effect was completely absent although there was an early occurring, sustained increase in frontal positivity in the suppression (vs attend) condition. Implications for culture and emotion research are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-22203-014&site=ehost-live&scope=site
"Culture, attitudes, and media patterns in China, Taiwan, and the U.S.: Balancing standardization and localization decisions.","La Ferle, Carrie; Edwards, Steven M.; Lee, Wei-Na",Journal of Global Marketing,08911762,,20080101,21,3,191,15,2008-18515-003,10.1080/08911760802152017,Haworth Press,Journal Article,Advertising; Consumer Attitudes; Cross Cultural Differences; Mass Media; Organizational Structure; Asians; Business Organizations; Chinese Cultural Groups; Economy; Marketing; Childhood (birth-12 yrs); Adolescence (13-17 yrs); Adulthood (18 yrs & older),,"A study was undertaken to examine cultural orientations, attitudes toward advertising, and media use patterns across China, Taiwan, and the United States. China and Taiwan share similar cultural backgrounds, yet their economies and advertising industries have evolved quite differently due to different social and political settings. The United States was included to provide a point of comparison. Understanding media patterns, cultural orientations, and attitudes can help better ascertain the potential for using standardized strategies by international advertisers across different markets. Industry and consumer trends in evolving markets can also be monitored. Consumers in China and Taiwan were found to be more similar than different. For example, consumers in both markets were less individualistic and more collectivistic than their counterparts in the U.S. They also exhibited more favorable attitudes toward advertising than American consumers. Furthermore, Chinese and Taiwanese respondents spent significantly more time with print media than American respondents. Implications of the findings for balancing standardization and localization decisions are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-18515-003&site=ehost-live&scope=site
"Culture, causal attribution, and coping in Chinese college students in the United States.","Tilley, Jacqueline L.; Farver, JoAnn M.; Huey, Stanley J. Jr.",Asian American Journal of Psychology,19481985,,20191223,,,,,2019-79370-001,10.1037/aap0000174,Educational Publishing Foundation,Journal Article,Attribution; Chinese Cultural Groups; Coping Behavior; Priming; Asians; Collectivism; College Students; Individualism; Academic Stress; Adulthood (18 yrs & older); Male; Female,,"This study explored how cultural orientation may influence the way Chinese college students cope with stress and whether their causal attributions mediate a cultural orientation–coping behavior relation. We manipulated cultural orientation in 96 Chinese college students (75% females; M = 19.96 years, SD = 1.24) who were randomly assigned to an individualistic priming condition (IND-PRIME) or a collectivistic priming condition (COL-PRIME). Participants evaluated the extent to which they attributed the cause of a hypothetical academic stressor to locus of causality, controllability, and stability, and indicated strategies they would use to cope with the stressor. Participants in the IND-PRIME condition were more likely to use active coping strategies and make more attributions of stability and controllability than participants in the COL-PRIME condition. Stability attributions mediated the relation between cultural orientation and active and avoidant coping. Participants in the IND-PRIME condition were more likely to attribute the stressor’s cause to temporary factors, and these unstable attributions were in turn linked to more active coping and less avoidant coping. Controllability attributions also mediated the link between cultural orientation and active coping, albeit inconsistently, suggesting a suppressor effect. The findings highlight the importance of the cultural orientation and the effects of individuals’ perceptions of their problems in understanding their coping behaviors. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-79370-001&site=ehost-live&scope=site
"Culture, comparativity, and psychoanalysis: Reply to commentary.","Roland, Alan",Psychoanalytic Dialogues,10481885,,19960101,6,4,489,7,1996-00776-004,10.1080/10481889609539133,Analytic Press,Comment/Reply,Cross Cultural Differences; Cross Cultural Treatment; Hermeneutics; Object Relations; Self Psychology; Asians; Psychoanalytic Theory; Psychotherapy,,"Replies to P. Cushman's commentary (see record 84-12773) on A. Roland's (see record 84-12803) comparison of the concepts of self and selfobject relationships in Asian and North American culture and agrees that the makeup and configurations of the self are profoundly shaped by sociocultural factors. However, the psychological is seen as having its own realm, related to the sociocultural but not simply a reflection of it. Individuality is universally present in both Asian and Euro-American societies but has considerable variability according to the culture, and is in very different balances and configurations with social relatedness and modes of communication. Self psychology is, therefore, applicable to Asian cultures. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1996-00776-004&site=ehost-live&scope=site
"Culture, emotion suppression and disclosure, and health.","Tsai, William; Lu, Qian",Social and Personality Psychology Compass,17519004,,20180301,12,3,1,13,2018-09303-001,10.1111/spc3.12373,Wiley-Blackwell Publishing Ltd.,Journal Article,Cross Cultural Differences; Emotions; Health Behavior; Self-Disclosure; Thought Suppression; Asians; Creative Writing; Cross Cultural Psychology; Cultural Sensitivity; Emotionality (Personality); Expressed Emotion; European Cultural Groups; Psychological Consequence,,"Researchers have examined cultural differences in the psychological and physiological health consequences of emotion suppression. The goal of this review is to clarify the state of the science on this growing area of research by summarizing patterns of findings, identifying limitations, and providing recommendations for future research. First, we review the framework that provides the theoretical foundation for explaining cultural differences, and then we present findings on how culture influences the psychological and physiological health consequences of emotion suppression. Next, we review the expressive writing intervention as a culturally sensitive intervention that facilitates emotion disclosure for cultural groups that prioritize emotional restraint. Finally, we end by providing theoretical and methodological recommendations for future research. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-09303-001&site=ehost-live&scope=site
